,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1,,,,,,,,,,,,
0,SVM,0,raw seq,1,1,0.993402451,1,0.982926829,0.991389914,0.988700565,1,0.967741935,0.983606557,,,,,,,,,,,,
1,SVM,0,emb,0.512089452,0.722435897,0.713477851,0.617866005,0.62406015,0.620947631,0.700564972,0.516666667,0.563636364,0.539130435,,,,,,,,,,,,
2,Logistic Regression,0,raw seq,1,1,1,1,1,1,0.994350282,1,0.983606557,0.991735537,,,,,,,,,,,,
3,Logistic Regression,0,emb,0.495606825,0.704344729,0.779453346,0.806451613,0.675675676,0.735294118,0.706214689,0.683333333,0.554054054,0.611940299,,,,,,,,,,,,
4,Decision Tree,0,raw seq,0.967741935,0.991452991,1,1,1,1,0.988700565,1,0.967741935,0.983606557,,,,,,,,,,,,
5,Decision Tree,0,emb,0.40491365,0.601709402,0.820923657,0.838709677,0.730021598,0.780600462,0.610169492,0.5,0.434782609,0.465116279,,,,,,,,,,,,
6,Random Forest,0,raw seq,1,1,0.994344958,1,0.985330073,0.992610837,0.988700565,1,0.967741935,0.983606557,,,,,,,,,,,,
7,Random Forest,0,emb,0.503785994,0.714031339,0.791705938,0.70719603,0.734536082,0.720606827,0.723163842,0.583333333,0.593220339,0.588235294,,,,,,,,,,,,
8,Baseline,0,raw seq,0.338983051,0.5,0.379830349,1,0.379830349,0.550546448,0.338983051,1,0.338983051,0.506329114,,,,,,,,,,,,
9,Baseline,0,emb,0.338983051,0.5,0.379830349,1,0.379830349,0.550546448,0.338983051,1,0.338983051,0.506329114,,,,,,,,,,,,
10,LSTM,0,raw seq,0.965409218,0.982763533,0.900094251,0.925558313,0.830734967,0.875586854,0.943502825,0.966666667,0.878787879,0.920634921,,,,,,,,,,,,
11,LSTM,0,emb,0.368243825,0.562179487,0.620169651,0,0,0,0.661016949,0,0,0,,,,,,,,,,,,
12,CNN,0,raw seq,0.964456569,0.988603989,0.918001885,0.873449132,0.907216495,0.890012642,0.95480226,0.9,0.964285714,0.931034483,,,,,,,,,,,,
13,CNN,0,emb,0.353961614,0.557193732,0.620169651,0,0,0,0.661016949,0,0,0,,,,,,,,,,,,
14,SVM,1,raw seq,0.997466229,0.99851592,0.993402451,0.997468354,0.985,0.991194969,0.988700565,0.985294118,0.985294118,0.985294118,,,,,,,,,,,,
15,SVM,1,emb,0.651294845,0.744333513,0.717247879,0.617721519,0.62086514,0.61928934,0.694915254,0.647058824,0.594594595,0.61971831,,,,,,,,,,,,
16,Logistic Regression,1,raw seq,0.999570608,0.999730167,1,1,1,1,0.988700565,0.985294118,0.985294118,0.985294118,,,,,,,,,,,,
17,Logistic Regression,1,emb,0.618038904,0.753912574,0.775683318,0.794936709,0.666666667,0.72517321,0.711864407,0.705882353,0.607594937,0.653061224,,,,,,,,,,,,
18,Decision Tree,1,raw seq,0.976454216,0.988059903,1,1,1,1,0.988700565,0.985294118,0.985294118,0.985294118,,,,,,,,,,,,
19,Decision Tree,1,emb,0.500371999,0.652522936,0.820923657,0.812658228,0.734553776,0.771634615,0.638418079,0.514705882,0.53030303,0.52238806,,,,,,,,,,,,
20,Random Forest,1,raw seq,0.999570608,0.999730167,0.994344958,1,0.985037406,0.992462312,0.994350282,1,0.985507246,0.99270073,,,,,,,,,,,,
21,Random Forest,1,emb,0.636749667,0.749460335,0.785108388,0.698734177,0.716883117,0.707692308,0.728813559,0.617647059,0.65625,0.636363636,,,,,,,,,,,,
22,Baseline,1,raw seq,0.384180791,0.5,0.372290292,1,0.372290292,0.542582418,0.384180791,1,0.384180791,0.555102041,,,,,,,,,,,,
23,Baseline,1,emb,0.384180791,0.5,0.372290292,1,0.372290292,0.542582418,0.384180791,1,0.384180791,0.555102041,,,,,,,,,,,,
24,LSTM,1,raw seq,0.907594387,0.974770642,0.956644675,0.97721519,0.912529551,0.943765281,0.949152542,0.970588235,0.904109589,0.936170213,,,,,,,,,,,,
25,LSTM,1,emb,0.365065437,0.500876956,0.627709708,0,0,0,0.615819209,0,0,0,,,,,,,,,,,,
26,CNN,1,raw seq,0.923540451,0.975040475,0.957587182,0.987341772,0.906976744,0.945454545,0.943502825,0.985294118,0.881578947,0.930555556,,,,,,,,,,,,
27,CNN,1,emb,0.347444468,0.482460874,0.627709708,0,0,0,0.615819209,0,0,0,,,,,,,,,,,,
28,SVM,2,raw seq,0.998417411,0.998926463,0.991517436,1,0.977667494,0.988707654,0.983050847,0.971014493,0.985294118,0.97810219,,,,,,,,,,,,
29,SVM,2,emb,0.570632699,0.701556629,0.721017908,0.647208122,0.618932039,0.632754342,0.700564972,0.507246377,0.648148148,0.569105691,,,,,,,,,,,,
30,Logistic Regression,2,raw seq,0.999205877,0.999463231,1,1,1,1,0.988700565,0.971014493,1,0.985294118,,,,,,,,,,,,
31,Logistic Regression,2,emb,0.619049768,0.737788513,0.773798303,0.791878173,0.663829787,0.722222222,0.740112994,0.710144928,0.653333333,0.680555556,,,,,,,,,,,,
32,Decision Tree,2,raw seq,0.959194448,0.97363124,1,1,1,1,0.97740113,0.956521739,0.985074627,0.970588235,,,,,,,,,,,,
33,Decision Tree,2,emb,0.512765469,0.624396135,0.815268615,0.845177665,0.711538462,0.77262181,0.564971751,0.579710145,0.454545455,0.50955414,,,,,,,,,,,,
34,Random Forest,2,raw seq,0.999381714,0.999597424,0.991517436,1,0.977667494,0.988707654,0.983050847,0.971014493,0.985294118,0.97810219,,,,,,,,,,,,
35,Random Forest,2,emb,0.611147801,0.748255502,0.784165881,0.685279188,0.72,0.702210663,0.723163842,0.536231884,0.685185185,0.601626016,,,,,,,,,,,,
36,Baseline,2,raw seq,0.389830508,0.5,0.371347785,1,0.371347785,0.541580756,0.389830508,1,0.389830508,0.56097561,,,,,,,,,,,,
37,Baseline,2,emb,0.389830508,0.5,0.371347785,1,0.371347785,0.541580756,0.389830508,1,0.389830508,0.56097561,,,,,,,,,,,,
38,LSTM,2,raw seq,0.987583431,0.992485239,0.964184731,0.989847716,0.919811321,0.953545232,0.960451977,0.971014493,0.930555556,0.95035461,,,,,,,,,,,,
39,LSTM,2,emb,0.365807515,0.472490607,0.628652215,0,0,0,0.610169492,0,0,0,,,,,,,,,,,,
40,CNN,2,raw seq,0.96900124,0.979066023,0.956644675,0.982233503,0.908450704,0.943902439,0.943502825,0.971014493,0.893333333,0.930555556,,,,,,,,,,,,
41,CNN,2,emb,0.363907872,0.466586151,0.628652215,0,0,0,0.610169492,0,0,0,,,,,,,,,,,,
42,SVM,3,raw seq,1,1,0.992459943,0.997461929,0.9825,0.989924433,0.97740113,1,0.945205479,0.971830986,,,,,,,,,,,,
43,SVM,3,emb,0.661449953,0.768652711,0.712535344,0.593908629,0.617414248,0.605433376,0.728813559,0.666666667,0.647887324,0.657142857,,,,,,,,,,,,
44,Logistic Regression,3,raw seq,0.999792961,0.999865808,1,1,1,1,0.988700565,0.985507246,0.985507246,0.985507246,,,,,,,,,,,,
45,Logistic Regression,3,emb,0.618861647,0.744766506,0.770028275,0.819796954,0.651209677,0.725842697,0.717514124,0.782608696,0.606741573,0.683544304,,,,,,,,,,,,
46,Decision Tree,3,raw seq,0.962999614,0.983494364,1,1,1,1,0.983050847,0.985507246,0.971428571,0.978417266,,,,,,,,,,,,
47,Decision Tree,3,emb,0.415304925,0.558105207,0.824693685,0.842639594,0.728070175,0.781176471,0.548022599,0.420289855,0.420289855,0.420289855,,,,,,,,,,,,
48,Random Forest,3,raw seq,1,1,0.993402451,1,0.982543641,0.991194969,0.97740113,1,0.945205479,0.971830986,,,,,,,,,,,,
