,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,raw seq,0.9999999999999998,1.0,0.991462113127001,0.9977477477477478,0.9844444444444445,0.9910514541387023,0.9368770764119602,0.0,0.0,0.0
1,SVM,0,emb,0.24191643650670863,0.8079507278835386,0.6627534685165422,0.668918918918919,0.6373390557939914,0.6527472527472528,0.8803986710963455,0.7894736842105263,0.3191489361702128,0.4545454545454545
2,Logistic Regression,0,raw seq,0.5178790975656931,0.6649869354236655,1.0,1.0,1.0,1.0,0.9368770764119602,0.0,0.0,0.0
3,Logistic Regression,0,emb,0.10424219031982866,0.6005972377752893,0.768409818569904,0.7927927927927928,0.7379454926624738,0.7643865363735071,0.6245847176079734,0.5263157894736842,0.08771929824561403,0.15037593984962408
4,Decision Tree,0,raw seq,0.08611645392551145,0.5245427398282941,1.0,1.0,1.0,1.0,0.9368770764119602,0.05263157894736842,0.5,0.09523809523809525
5,Decision Tree,0,emb,0.0893491925503349,0.6497760358342664,0.8025613660618997,0.8671171171171171,0.7534246575342466,0.8062827225130891,0.48172757475083056,0.7368421052631579,0.08484848484848485,0.15217391304347827
6,Random Forest,0,raw seq,1.0,0.9999999999999999,0.9925293489861259,1.0,0.9844789356984479,0.9921787709497207,0.9667774086378738,0.47368421052631576,1.0,0.6428571428571429
7,Random Forest,0,emb,0.14259715794730873,0.7321761851437103,0.767342582710779,0.7995495495495496,0.7334710743801653,0.7650862068965517,0.7275747508305648,0.5263157894736842,0.12048192771084337,0.196078431372549
8,Baseline,0,raw seq,0.06312292358803986,0.5,0.47385272145144075,1.0,0.47385272145144075,0.6430123099203475,0.06312292358803986,1.0,0.06312292358803986,0.11874999999999998
9,Baseline,0,emb,0.06312292358803986,0.5,0.47385272145144075,1.0,0.47385272145144075,0.6430123099203475,0.06312292358803986,1.0,0.06312292358803986,0.11874999999999998
10,LSTM,0,raw seq,1.0,1.0,0.9615795090715048,0.9797297297297297,0.9415584415584416,0.9602649006622517,0.9933554817275747,0.8947368421052632,1.0,0.9444444444444444
11,LSTM,0,emb,0.06814749973517567,0.5369540873460246,0.5261472785485592,0.0,0.0,0.0,0.9368770764119602,0.0,0.0,0.0
12,CNN,0,raw seq,0.9699774909608705,0.998320268756999,0.9295624332977588,0.9527027027027027,0.9038461538461539,0.9276315789473685,0.9700996677740864,0.5263157894736842,1.0,0.6896551724137931
13,CNN,0,emb,0.06863981760382173,0.5423665546845838,0.5261472785485592,0.0,0.0,0.0,0.9368770764119602,0.0,0.0,0.0
14,SVM,1,raw seq,0.27816633877031083,0.04929834523036988,0.9961832061068703,0.996415770609319,0.9928571428571429,0.9946332737030412,0.5929203539823009,0.0,0.0,0.0
15,SVM,1,emb,0.421474043238407,0.5698004542504868,0.7748091603053435,0.5734767025089605,0.7339449541284404,0.6438631790744467,0.5088495575221239,0.09782608695652174,0.24324324324324326,0.13953488372093026
16,Logistic Regression,1,raw seq,0.9627225039964304,0.9881570408825437,1.0,1.0,1.0,1.0,0.5929203539823009,0.0,0.0,0.0
17,Logistic Regression,1,emb,0.4279089913379746,0.5919958630759248,0.8435114503816794,0.8279569892473119,0.7549019607843137,0.7897435897435897,0.5862831858407079,0.42391304347826086,0.49056603773584906,0.45481049562682213
18,Decision Tree,1,raw seq,0.40707964601769914,0.5,1.0,1.0,1.0,1.0,0.5929203539823009,0.0,0.0,0.0
19,Decision Tree,1,emb,0.3937785947048352,0.49736372485399083,0.8689567430025446,0.910394265232975,0.7650602409638554,0.8314238952536824,0.5243362831858407,0.358695652173913,0.4049079754601227,0.3804034582132565
20,Random Forest,1,raw seq,0.28216205052355126,0.03814487345879299,0.9987277353689568,1.0,0.9964285714285714,0.998211091234347,0.5929203539823009,0.0,0.0,0.0
21,Random Forest,1,emb,0.42755116227141177,0.5881124269954575,0.8460559796437659,0.7383512544802867,0.8110236220472441,0.7729831144465291,0.497787610619469,0.16847826086956522,0.29523809523809524,0.21453287197231832
22,Baseline,1,raw seq,0.40707964601769914,0.5,0.3549618320610687,1.0,0.3549618320610687,0.523943661971831,0.40707964601769914,1.0,0.40707964601769914,0.578616352201258
23,Baseline,1,emb,0.40707964601769914,0.5,0.3549618320610687,1.0,0.3549618320610687,0.523943661971831,0.40707964601769914,1.0,0.40707964601769914,0.578616352201258
24,LSTM,1,raw seq,0.4937968851192738,0.7007219338092148,0.9834605597964376,0.985663082437276,0.9683098591549296,0.9769094138543517,0.5951327433628318,0.005434782608695652,1.0,0.010810810810810811
25,LSTM,1,emb,0.4045802019984914,0.5278025632706035,0.6450381679389313,0.0,0.0,0.0,0.5929203539823009,0.0,0.0,0.0
