,Model Name,Fold,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,0.992658619199369,0.9958882816025673,0.9939393939393939,0.9967637540453075,0.9871794871794872,0.9919484702093397,0.9394673123486683,0.8701298701298701,0.9640287769784173,0.9146757679180887
1,Logistic Regression,0,0.9952799369148811,0.9973674973674973,1.0,1.0,1.0,1.0,0.9782082324455206,0.987012987012987,0.9559748427672956,0.9712460063897763
2,Decision Tree,0,0.9390243902439024,0.9806949806949806,1.0,1.0,1.0,1.0,0.9757869249394673,1.0,0.9390243902439024,0.9685534591194969
3,Random Forest,0,0.992740636269716,0.9959258887830317,1.0,1.0,1.0,1.0,0.9757869249394673,0.9805194805194806,0.9556962025316456,0.967948717948718
4,SVM,1,0.9997983870967744,0.9998749687421855,0.9951515151515151,0.9967532467532467,0.9903225806451613,0.993527508090615,0.9854721549636803,1.0,0.9627329192546584,0.9810126582278481
5,Logistic Regression,1,0.9997983870967744,0.9998749687421855,1.0,1.0,1.0,1.0,0.9854721549636803,1.0,0.9627329192546584,0.9810126582278481
6,Decision Tree,1,0.9647260346312309,0.987084271067767,1.0,1.0,1.0,1.0,0.9854721549636803,0.9935483870967742,0.9685534591194969,0.980891719745223
7,Random Forest,1,0.9997595672209977,0.9998499624906227,0.9963636363636363,1.0,0.9903536977491961,0.9951534733441034,0.9854721549636803,1.0,0.9627329192546584,0.9810126582278481
8,SVM,2,1.0,1.0,0.9903147699757869,0.9967637540453075,0.9777777777777777,0.9871794871794872,0.9902912621359223,0.974025974025974,1.0,0.9868421052631579
9,Logistic Regression,2,1.0,1.0,1.0,1.0,1.0,1.0,0.9902912621359223,0.974025974025974,1.0,0.9868421052631579
10,Decision Tree,2,0.995933677972513,0.9967532467532467,1.0,1.0,1.0,1.0,0.9975728155339806,0.9935064935064936,1.0,0.9967426710097721
11,Random Forest,2,1.0,1.0,0.9975786924939467,1.0,0.9935691318327974,0.996774193548387,0.9902912621359223,0.974025974025974,1.0,0.9868421052631579
