,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,raw seq,0.9988082166363125,0.999308628318584,0.9943449575871819,1.0,0.9851851851851852,0.9925373134328358,0.9830508474576272,0.984375,0.9692307692307692,0.9767441860465116
1,SVM,0,emb,0.6355479138154865,0.7731609513274336,0.7115928369462771,0.6190476190476191,0.6159600997506235,0.6174999999999999,0.7288135593220338,0.640625,0.6212121212121212,0.6307692307692307
2,Logistic Regression,0,raw seq,0.9993003731343284,0.9995851769911503,1.0,1.0,1.0,1.0,0.9830508474576272,0.984375,0.9692307692307692,0.9767441860465116
3,Logistic Regression,0,emb,0.6566454528796659,0.7766869469026549,0.7728557964184731,0.8220551378446115,0.6586345381526104,0.7313266443701226,0.7231638418079096,0.734375,0.5949367088607594,0.6573426573426573
4,Decision Tree,0,raw seq,0.9452803993323061,0.9789131637168141,1.0,1.0,1.0,1.0,0.9774011299435028,0.984375,0.9545454545454546,0.9692307692307692
5,Decision Tree,0,emb,0.41899663952805183,0.6059872787610618,0.819038642789821,0.8245614035087719,0.729490022172949,0.7741176470588236,0.6214689265536724,0.546875,0.4794520547945205,0.5109489051094891
6,Random Forest,0,raw seq,0.9993003731343284,0.9995851769911505,0.9943449575871819,1.0,0.9851851851851852,0.9925373134328358,0.9830508474576272,0.984375,0.9692307692307692,0.9767441860465116
7,Random Forest,0,emb,0.6145931856415441,0.7739905973451329,0.7869934024505184,0.6942355889724311,0.7270341207349081,0.7102564102564102,0.7570621468926554,0.640625,0.6721311475409836,0.6559999999999999
8,Baseline,0,raw seq,0.3615819209039548,0.5,0.3760603204524034,1.0,0.3760603204524034,0.5465753424657535,0.3615819209039548,1.0,0.3615819209039548,0.5311203319502075
9,Baseline,0,emb,0.3615819209039548,0.5,0.3760603204524034,1.0,0.3760603204524034,0.5465753424657535,0.3615819209039548,1.0,0.3615819209039548,0.5311203319502075
10,LSTM,0,raw seq,0.9899514164044158,0.9944690265486725,0.9670122525918945,0.9924812030075187,0.9252336448598131,0.9576783555018137,0.9717514124293786,0.984375,0.9402985074626866,0.9618320610687023
11,LSTM,0,emb,0.3285937807153562,0.4876244469026549,0.6239396795475967,0.0,0.0,0.0,0.6384180790960452,0.0,0.0,0.0
12,CNN,0,raw seq,0.973085117277163,0.9890763274336283,0.9509896324222432,0.9473684210526315,0.9242053789731052,0.9356435643564356,0.96045197740113,0.984375,0.9130434782608695,0.9473684210526315
13,CNN,0,emb,0.3339387311437928,0.47918971238938046,0.6239396795475967,0.0,0.0,0.0,0.6384180790960452,0.0,0.0,0.0
14,SVM,1,raw seq,0.9999999999999998,1.0,0.9924599434495759,0.9974619289340102,0.9825,0.9899244332493703,0.9943502824858758,0.9855072463768116,1.0,0.9927007299270074
15,SVM,1,emb,0.6452398127957875,0.7729468599033816,0.7106503298774741,0.6116751269035533,0.610126582278481,0.6108998732572878,0.7344632768361582,0.6811594202898551,0.6527777777777778,0.6666666666666667
16,Logistic Regression,1,raw seq,0.9999999999999998,1.0,1.0,1.0,1.0,1.0,0.9943502824858758,0.9855072463768116,1.0,0.9927007299270074
17,Logistic Regression,1,emb,0.5879593612771254,0.7389291465378421,0.7766258246936852,0.8045685279187818,0.6645702306079665,0.7278989667049369,0.711864406779661,0.7971014492753623,0.5978260869565217,0.6832298136645962
18,Decision Tree,1,raw seq,0.9911569638909359,0.9927536231884058,1.0,1.0,1.0,1.0,0.9943502824858758,0.9855072463768116,1.0,0.9927007299270074
19,Decision Tree,1,emb,0.4527351814964395,0.5981615673644659,0.823751178133836,0.8324873096446701,0.7305122494432071,0.7781731909845789,0.5988700564971752,0.5652173913043478,0.4875,0.5234899328859061
