,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,raw seq,0.9999999999999998,1.0,0.9915174363807728,0.9974424552429667,0.9798994974874372,0.9885931558935361,1.0,1.0,1.0,1.0
1,SVM,0,emb,0.6355826792350756,0.7399470899470899,0.7134778510838832,0.5959079283887468,0.6147757255936676,0.6051948051948053,0.7288135593220338,0.6388888888888888,0.6764705882352942,0.6571428571428571
2,Logistic Regression,0,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.9863013698630136,0.993103448275862
3,Logistic Regression,0,emb,0.6613054822730429,0.7376984126984126,0.7841658812441094,0.7877237851662404,0.6784140969162996,0.7289940828402366,0.672316384180791,0.6944444444444444,0.5813953488372093,0.6329113924050633
4,Decision Tree,0,raw seq,0.9863013698630136,0.9952380952380953,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.9863013698630136,0.993103448275862
5,Decision Tree,0,emb,0.46833916687342747,0.5617724867724867,0.825636192271442,0.8414322250639387,0.7278761061946902,0.7805456702253856,0.5423728813559322,0.4722222222222222,0.44155844155844154,0.4563758389261745
6,Random Forest,0,raw seq,0.9998097412480973,0.9998677248677249,0.9934024505183789,1.0,0.9824120603015075,0.991128010139417,0.9943502824858758,1.0,0.9863013698630136,0.993103448275862
7,Random Forest,0,emb,0.6801441809539803,0.7486772486772486,0.7869934024505184,0.6930946291560103,0.7188328912466844,0.7057291666666666,0.7288135593220338,0.6527777777777778,0.6714285714285714,0.6619718309859155
8,Baseline,0,raw seq,0.4067796610169492,0.5,0.3685202639019793,1.0,0.3685202639019793,0.5385674931129476,0.4067796610169492,1.0,0.4067796610169492,0.5783132530120482
9,Baseline,0,emb,0.4067796610169492,0.5,0.3685202639019793,1.0,0.3685202639019793,0.5385674931129476,0.4067796610169492,1.0,0.4067796610169492,0.5783132530120482
10,LSTM,0,raw seq,0.9615267910133627,0.976984126984127,0.9189443920829407,0.9360613810741688,0.8571428571428571,0.8948655256723717,0.9152542372881356,0.9444444444444444,0.8607594936708861,0.9006622516556292
11,LSTM,0,emb,0.42116869609225566,0.5584656084656083,0.6314797360980208,0.0,0.0,0.0,0.5932203389830508,0.0,0.0,0.0
12,CNN,0,raw seq,0.935214777994558,0.9838624338624339,0.9726672950047125,0.9974424552429667,0.9330143540669856,0.9641532756489494,0.9717514124293786,1.0,0.935064935064935,0.9664429530201343
13,CNN,0,emb,0.4596844784980837,0.5992063492063493,0.6314797360980208,0.0,0.0,0.0,0.5932203389830508,0.0,0.0,0.0
14,SVM,1,raw seq,0.9997929606625255,0.9998658078368223,0.9943449575871819,0.9974619289340102,0.9874371859296482,0.9924242424242424,0.9830508474576272,1.0,0.9583333333333334,0.9787234042553191
15,SVM,1,emb,0.5801919135977762,0.7243022007514761,0.7106503298774741,0.6091370558375635,0.6106870229007634,0.6099110546378653,0.7005649717514124,0.5797101449275363,0.625,0.6015037593984963
16,Logistic Regression,1,raw seq,0.9997929606625255,0.9998658078368223,1.0,1.0,1.0,1.0,0.9943502824858758,1.0,0.9857142857142858,0.9928057553956835
17,Logistic Regression,1,emb,0.6734316677127812,0.782541599570585,0.7690857681432611,0.817258883248731,0.6505050505050505,0.7244094488188976,0.7457627118644068,0.7391304347826086,0.6538461538461539,0.693877551020408
18,Decision Tree,1,raw seq,0.971830985915493,0.9907407407407408,1.0,1.0,1.0,1.0,0.9887005649717514,1.0,0.971830985915493,0.9857142857142858
19,Decision Tree,1,emb,0.49007235688994044,0.6242619431025229,0.819038642789821,0.8274111675126904,0.7244444444444444,0.7725118483412322,0.6214689265536724,0.43478260869565216,0.5172413793103449,0.4724409448818897
20,Random Forest,1,raw seq,0.9997929606625259,0.9998658078368223,0.9962299717247879,1.0,0.9899497487437185,0.9949494949494949,0.9830508474576272,1.0,0.9583333333333334,0.9787234042553191
21,Random Forest,1,emb,0.6699979411736148,0.7610708534621579,0.7813383600377003,0.7157360406091371,0.7014925373134329,0.7085427135678392,0.751412429378531,0.5797101449275363,0.7272727272727273,0.6451612903225806
22,Baseline,1,raw seq,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
23,Baseline,1,emb,0.3898305084745763,0.5,0.37134778510838834,1.0,0.37134778510838834,0.5415807560137457,0.3898305084745763,1.0,0.3898305084745763,0.5609756097560975
24,LSTM,1,raw seq,0.9091734213736423,0.9793344068706388,0.9764373232799246,0.9898477157360406,0.948905109489051,0.9689440993788819,0.9717514124293786,1.0,0.9324324324324325,0.965034965034965
25,LSTM,1,emb,0.43559397239726666,0.5836688137412775,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
26,CNN,1,raw seq,0.970939599079033,0.9846349973161568,0.9726672950047125,0.9923857868020305,0.9376498800959233,0.9642416769420469,0.9661016949152542,1.0,0.92,0.9583333333333334
27,CNN,1,emb,0.42718814798086857,0.56394256575416,0.6286522148916117,0.0,0.0,0.0,0.6101694915254238,0.0,0.0,0.0
28,SVM,2,raw seq,0.9970072648878938,0.9987692307692307,0.9934024505183789,0.9975669099756691,0.9855769230769231,0.9915356711003627,0.9774011299435028,0.9615384615384616,0.9615384615384616,0.9615384615384616
29,SVM,2,emb,0.4662378002725987,0.703846153846154,0.7266729500471254,0.6593673965936739,0.6437054631828979,0.6514423076923077,0.6666666666666666,0.5961538461538461,0.4492753623188406,0.5123966942148761
30,Logistic Regression,2,raw seq,0.9985620598828149,0.9993846153846153,1.0,1.0,1.0,1.0,0.9774011299435028,0.9615384615384616,0.9615384615384616,0.9615384615384616
31,Logistic Regression,2,emb,0.4905372994927582,0.7244615384615385,0.7803958529688972,0.8199513381995134,0.6794354838709677,0.743109151047409,0.6779661016949152,0.7884615384615384,0.47126436781609193,0.5899280575539568
32,Decision Tree,2,raw seq,0.9629629629629629,0.992,1.0,1.0,1.0,1.0,0.9887005649717514,1.0,0.9629629629629629,0.9811320754716981
33,Decision Tree,2,emb,0.3872411397057178,0.6343846153846153,0.8199811498586239,0.8321167883211679,0.7370689655172413,0.7817142857142857,0.5706214689265536,0.5961538461538461,0.36046511627906974,0.4492753623188406
34,Random Forest,2,raw seq,0.9978003705917137,0.9990769230769232,0.9943449575871819,1.0,0.9856115107913669,0.9927536231884058,0.9774011299435028,0.9615384615384616,0.9615384615384616,0.9615384615384616
35,Random Forest,2,emb,0.49565767250723497,0.7449230769230769,0.7813383600377003,0.7201946472019465,0.7167070217917676,0.7184466019417477,0.7231638418079096,0.7115384615384616,0.5211267605633803,0.6016260162601627
36,Baseline,2,raw seq,0.2937853107344633,0.5,0.38737040527803956,1.0,0.38737040527803956,0.5584239130434783,0.2937853107344633,1.0,0.2937853107344633,0.4541484716157206
