,Model Name,Fold,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,0.9821428571428572,0.9996410624551328,0.9027611044417767,0.8969298245614035,0.9232505643340858,0.9098998887652947,0.9679012345679012,1.0,0.35,0.5185185185185185
1,Logistic Regression,0,0.4105605096388506,0.9748743718592965,1.0,1.0,1.0,1.0,0.9604938271604938,0.7142857142857143,0.2631578947368421,0.3846153846153846
2,Decision Tree,0,0.04929577464788732,0.8304020100502513,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.04929577464788732,0.09395973154362416
3,Random Forest,0,0.9093537414965986,0.9985642498205313,1.0,1.0,1.0,1.0,0.980246913580247,1.0,0.4666666666666667,0.6363636363636364
4,SVM,1,0.9944182380676024,0.3004694835680751,0.9827160493827161,0.7027027027027027,0.896551724137931,0.787878787878788,0.29906542056074764,0.3004694835680751,0.9846153846153847,0.4604316546762591
5,Logistic Regression,1,0.9943216999530867,0.29577464788732394,0.9975308641975309,1.0,0.9487179487179487,0.9736842105263158,0.5630841121495327,0.5657276995305164,0.9917695473251029,0.7204783258594918
6,Decision Tree,1,0.9926690096488572,0.21244131455399062,1.0,1.0,1.0,1.0,0.42289719626168226,0.42488262910798125,0.9890710382513661,0.5944170771756979
7,Random Forest,1,0.9917740651226429,0.16842723004694835,1.0,1.0,1.0,1.0,0.3130841121495327,0.3145539906103286,0.9852941176470589,0.47686832740213525
8,SVM,2,0.36206675041113806,0.8759111111111111,0.929171668667467,0.9006928406466512,0.9605911330049262,0.9296781883194278,0.8666666666666667,0.9333333333333333,0.35,0.5090909090909091
9,Logistic Regression,2,0.13757929848813816,0.6794666666666667,1.0,1.0,1.0,1.0,0.5259259259259259,0.7,0.10294117647058823,0.1794871794871795
10,Decision Tree,2,0.23486419753086418,0.796,1.0,1.0,1.0,1.0,0.8493827160493828,0.7333333333333333,0.29333333333333333,0.419047619047619
11,Random Forest,2,0.5763898271220148,0.9316444444444445,1.0,1.0,1.0,1.0,0.9012345679012346,0.9,0.421875,0.574468085106383
