,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,raw seq,0.9999999999999998,1.0,0.991462113127001,0.9977477477477478,0.9844444444444445,0.9910514541387023,0.9368770764119602,0.0,0.0,0.0
1,SVM,0,emb,0.24191643650670863,0.8079507278835386,0.6627534685165422,0.668918918918919,0.6373390557939914,0.6527472527472528,0.8803986710963455,0.7894736842105263,0.3191489361702128,0.4545454545454545
2,Logistic Regression,0,raw seq,0.5284054585559683,0.7062336692795819,1.0,1.0,1.0,1.0,0.9368770764119602,0.0,0.0,0.0
3,Logistic Regression,0,emb,0.10411234538264275,0.6005972377752893,0.7641408751334045,0.8378378378378378,0.7140115163147792,0.7709844559585491,0.5448504983388704,0.631578947368421,0.08450704225352113,0.14906832298136646
4,Decision Tree,0,raw seq,0.08611645392551145,0.5245427398282941,1.0,1.0,1.0,1.0,0.9368770764119602,0.05263157894736842,0.5,0.09523809523809525
5,Decision Tree,0,emb,0.0893491925503349,0.6497760358342664,0.8025613660618997,0.8671171171171171,0.7534246575342466,0.8062827225130891,0.48172757475083056,0.7368421052631579,0.08484848484848485,0.15217391304347827
6,Random Forest,0,raw seq,1.0,0.9999999999999999,0.9925293489861259,1.0,0.9844789356984479,0.9921787709497207,0.9900332225913622,0.8421052631578947,1.0,0.9142857142857143
7,Random Forest,0,emb,0.1381956552283454,0.7267637178051513,0.7748132337246532,0.7905405405405406,0.7484008528784648,0.768893756845564,0.7142857142857143,0.47368421052631576,0.10588235294117647,0.17307692307692304
8,Baseline,0,raw seq,0.06312292358803986,0.5,0.47385272145144075,1.0,0.47385272145144075,0.6430123099203475,0.06312292358803986,1.0,0.06312292358803986,0.11874999999999998
9,Baseline,0,emb,0.06312292358803986,0.5,0.47385272145144075,1.0,0.47385272145144075,0.6430123099203475,0.06312292358803986,1.0,0.06312292358803986,0.11874999999999998
10,LSTM,0,raw seq,0.9999999999999999,1.0,0.9370330843116329,0.963963963963964,0.9087048832271762,0.9355191256830601,0.9966777408637874,1.0,0.95,0.9743589743589743
11,LSTM,0,emb,0.06523794793614093,0.5233296005972379,0.5261472785485592,0.0,0.0,0.0,0.9368770764119602,0.0,0.0,0.0
12,CNN,0,raw seq,0.8710766216274501,0.9917879805897722,0.96051227321238,0.9887387387387387,0.9320594479830149,0.9595628415300547,0.9601328903654485,0.42105263157894735,0.8888888888888888,0.5714285714285714
13,CNN,0,emb,0.06334037964548994,0.49645390070921985,0.5261472785485592,0.0,0.0,0.0,0.9368770764119602,0.0,0.0,0.0
14,SVM,1,raw seq,0.20568845069566086,0.006726571225505127,0.991494532199271,1.0,0.978328173374613,0.9890453834115805,0.6457831325301204,0.0,0.0,0.0
15,SVM,1,emb,0.48255689592925716,0.6879759366433138,0.7302551640340219,0.5379746835443038,0.6910569105691057,0.6049822064056939,0.5927710843373494,0.17687074829931973,0.35135135135135137,0.23529411764705882
16,Logistic Regression,1,raw seq,0.20457944096095934,0.009366433140420304,1.0,1.0,1.0,1.0,0.6457831325301204,0.0,0.0,0.0
17,Logistic Regression,1,emb,0.35468739625639367,0.5350543202355569,0.8140947752126367,0.8132911392405063,0.7321937321937322,0.7706146926536731,0.5686746987951807,0.6666666666666666,0.4298245614035088,0.5226666666666666
18,Decision Tree,1,raw seq,0.3542168674698795,0.5,1.0,1.0,1.0,1.0,0.6457831325301204,0.0,0.0,0.0
19,Decision Tree,1,emb,0.3526124919739842,0.47135495989440557,0.8541919805589308,0.8955696202531646,0.7648648648648648,0.8250728862973761,0.4867469879518072,0.40816326530612246,0.3225806451612903,0.3603603603603604
20,Random Forest,1,raw seq,0.28550139344615433,0.0,0.9963547995139733,1.0,0.9905956112852664,0.9952755905511811,0.6457831325301204,0.0,0.0,0.0
21,Random Forest,1,emb,0.3434140867863721,0.5358538937963245,0.8262454434993924,0.7120253164556962,0.8122743682310469,0.7588532883642496,0.5349397590361445,0.1564625850340136,0.25,0.19246861924686193
22,Baseline,1,raw seq,0.3542168674698795,0.5,0.3839611178614824,1.0,0.3839611178614824,0.5548726953467955,0.3542168674698795,1.0,0.3542168674698795,0.5231316725978647
23,Baseline,1,emb,0.3542168674698795,0.5,0.3839611178614824,1.0,0.3839611178614824,0.5548726953467955,0.3542168674698795,1.0,0.3542168674698795,0.5231316725978647
24,LSTM,1,raw seq,0.7843784138875705,0.9355772159610113,0.29526123936816523,0.0,0.0,0.0,0.6457831325301204,0.0,0.0,0.0
25,LSTM,1,emb,0.3383855137682518,0.5229084170981826,0.6160388821385177,0.0,0.0,0.0,0.6457831325301204,0.0,0.0,0.0
