,Model Name,Fold,Features,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,raw seq,0.2312909448898801,0.0,0.9948186528497409,0.996415770609319,0.9893238434163701,0.9928571428571428,0.6051502145922747,0.0,0.0,0.0
1,Logistic Regression,0,raw seq,0.23130795341294083,0.0009828862164662337,1.0,1.0,1.0,1.0,0.6051502145922747,0.0,0.0,0.0
2,Decision Tree,0,raw seq,0.3948497854077253,0.2765957446808511,1.0,1.0,1.0,1.0,0.33476394849785407,0.0,0.0,0.0
3,Random Forest,0,raw seq,0.24006942335681103,0.0,0.9987046632124352,1.0,0.9964285714285714,0.998211091234347,0.6051502145922747,0.0,0.0,0.0
4,Baseline,0,raw seq,0.3948497854077253,0.5,0.36139896373056996,1.0,0.36139896373056996,0.5309229305423406,0.3948497854077253,1.0,0.3948497854077253,0.5661538461538461
5,LSTM,0,raw seq,1.0000000000000002,1.0,0.9352331606217616,0.985663082437276,0.8566978193146417,0.9166666666666665,0.9871244635193133,1.0,0.968421052631579,0.983957219251337
6,CNN,0,raw seq,1.0000000000000002,1.0,0.9080310880829016,0.8136200716845878,0.9227642276422764,0.8647619047619046,1.0,1.0,1.0,1.0
7,SVM,1,raw seq,0.20568845069566086,0.006726571225505127,0.991494532199271,1.0,0.978328173374613,0.9890453834115805,0.6457831325301204,0.0,0.0,0.0
8,Logistic Regression,1,raw seq,0.20459658947999143,0.009772565742714952,1.0,1.0,1.0,1.0,0.6457831325301204,0.0,0.0,0.0
9,Decision Tree,1,raw seq,0.3542168674698795,0.5,1.0,1.0,1.0,1.0,0.6457831325301204,0.0,0.0,0.0
10,Random Forest,1,raw seq,0.2699633719360735,0.0035536602700781375,0.9963547995139733,1.0,0.9905956112852664,0.9952755905511811,0.6457831325301204,0.0,0.0,0.0
11,Baseline,1,raw seq,0.3542168674698795,0.5,0.3839611178614824,1.0,0.3839611178614824,0.5548726953467955,0.3542168674698795,1.0,0.3542168674698795,0.5231316725978647
12,LSTM,1,raw seq,0.6978762785231166,0.9113361762615494,0.9088699878493317,0.9968354430379747,0.8097686375321337,0.8936170212765957,0.6819277108433734,0.9931972789115646,0.5270758122743683,0.6886792452830189
13,CNN,1,raw seq,0.3466455551377768,0.5316021931160524,0.9404617253948967,0.9177215189873418,0.9265175718849841,0.9220985691573927,0.491566265060241,0.006802721088435374,0.015151515151515152,0.009389671361502346
14,SVM,2,raw seq,1.0000000000000002,1.0,0.9937722419928826,0.9975903614457832,0.9857142857142858,0.9916167664670659,0.5789473684210527,0.0,0.0,0.0
15,Logistic Regression,2,raw seq,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.0,0.0
16,Decision Tree,2,raw seq,0.42105263157894735,0.5,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.0,0.0
17,Random Forest,2,raw seq,1.0,1.0,0.994661921708185,1.0,0.9857482185273159,0.992822966507177,0.9385964912280702,0.8541666666666666,1.0,0.9213483146067416
18,Baseline,2,raw seq,0.42105263157894735,0.5,0.3692170818505338,1.0,0.3692170818505338,0.539311241065627,0.42105263157894735,1.0,0.42105263157894735,0.5925925925925926
19,LSTM,2,raw seq,1.0,1.0,0.9822064056939501,0.9975903614457832,0.9561200923787528,0.9764150943396226,0.9912280701754386,0.9791666666666666,1.0,0.9894736842105264
20,CNN,2,raw seq,1.0000000000000002,1.0,0.9448398576512456,0.927710843373494,0.9232613908872902,0.9254807692307693,1.0,1.0,1.0,1.0
21,SVM,3,raw seq,1.0000000000000002,1.0,0.9923534409515717,0.997737556561086,0.9821826280623608,0.98989898989899,0.6557377049180327,0.0,0.0,0.0
22,Logistic Regression,3,raw seq,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,0.6557377049180327,0.0,0.0,0.0
23,Decision Tree,3,raw seq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,Random Forest,3,raw seq,1.0,1.0,0.9932030586236194,1.0,0.9822222222222222,0.9910313901345292,0.7704918032786885,0.3333333333333333,1.0,0.5
25,Baseline,3,raw seq,0.3442622950819672,0.5,0.37553101104502973,1.0,0.37553101104502973,0.5460160592958616,0.3442622950819672,1.0,0.3442622950819672,0.5121951219512195
26,LSTM,3,raw seq,1.0,1.0,0.983857264231096,0.9932126696832579,0.9648351648351648,0.9788182831661093,1.0,1.0,1.0,1.0
27,CNN,3,raw seq,0.8159965998422434,0.9416666666666667,0.9660152931180969,0.9819004524886877,0.9313304721030042,0.9559471365638765,0.9344262295081968,1.0,0.84,0.9130434782608696
28,SVM,4,raw seq,0.558013940748831,0.85,0.9940677966101695,1.0,0.9845132743362832,0.992196209587514,0.603448275862069,0.0,0.0,0.0
29,Logistic Regression,4,raw seq,0.517407122409422,0.8194444444444444,1.0,1.0,1.0,1.0,0.603448275862069,0.0,0.0,0.0
30,Decision Tree,4,raw seq,0.307608100711549,0.4930555555555556,1.0,1.0,1.0,1.0,0.6379310344827587,0.1111111111111111,0.2857142857142857,0.16
31,Random Forest,4,raw seq,0.6075699662656184,0.85,0.997457627118644,1.0,0.9933035714285714,0.9966405375139977,0.603448275862069,0.0,0.0,0.0
32,Baseline,4,raw seq,0.3103448275862069,0.5,0.3771186440677966,1.0,0.3771186440677966,0.5476923076923076,0.3103448275862069,1.0,0.3103448275862069,0.4736842105263158
33,LSTM,4,raw seq,0.2797633994104618,0.42499999999999993,0.9711864406779661,0.9865168539325843,0.9400428265524625,0.9627192982456141,0.5517241379310345,0.05555555555555555,0.1,0.07142857142857142
34,CNN,4,raw seq,0.34835656378923047,0.5986111111111111,0.9627118644067797,0.9910112359550561,0.9168399168399168,0.9524838012958963,0.5517241379310345,0.1111111111111111,0.16666666666666666,0.13333333333333333
