,Model Name,Fold,ap,auc,train_accuracy,train_recall,train_precision,train_f1,test_accuracy,test_recall,test_precision,test_f1
0,SVM,0,0.6959353264616992,0.877301747311828,0.8739393939393939,0.7967914438502673,0.6930232558139535,0.7412935323383086,0.8208232445520581,0.6989247311827957,0.5855855855855856,0.6372549019607844
1,Logistic Regression,0,0.9274849561448625,0.9784274193548387,0.9527272727272728,0.9946524064171123,0.8303571428571429,0.905109489051095,0.927360774818402,0.9354838709677419,0.7837837837837838,0.8529411764705881
2,Decision Tree,0,0.7224370417701423,0.8699092741935484,1.0,1.0,1.0,1.0,0.9225181598062954,0.7741935483870968,0.8674698795180723,0.8181818181818182
3,Random Forest,0,0.9400871367744892,0.9815860215053763,0.9939393939393939,0.9786096256684492,0.9945652173913043,0.9865229110512129,0.9322033898305084,0.7634408602150538,0.922077922077922,0.8352941176470589
4,SVM,1,0.919064085808241,0.9686186887214033,0.9151515151515152,0.7150537634408602,0.8866666666666667,0.7916666666666667,0.9200968523002422,0.776595744680851,0.8588235294117647,0.8156424581005587
5,Logistic Regression,1,0.9501902690911597,0.9813579670512906,0.9466666666666667,1.0,0.808695652173913,0.8942307692307693,0.9152542372881356,0.9361702127659575,0.7521367521367521,0.8341232227488151
6,Decision Tree,1,0.6836544570947743,0.872907356766491,1.0,1.0,1.0,1.0,0.9079903147699758,0.8085106382978723,0.7916666666666666,0.7999999999999999
7,Random Forest,1,0.9647300376851358,0.9868938838124458,0.9951515151515151,0.9946236559139785,0.9840425531914894,0.9893048128342246,0.9491525423728814,0.9042553191489362,0.8762886597938144,0.8900523560209425
8,SVM,2,0.7659090285887717,0.9166413860518422,0.8244552058111381,0.5935828877005348,0.6166666666666667,0.6049046321525885,0.8009708737864077,0.5053763440860215,0.5662650602409639,0.5340909090909092
9,Logistic Regression,2,0.9746077214472174,0.9923484005797687,0.9394673123486683,0.9946524064171123,0.7914893617021277,0.8815165876777251,0.9441747572815534,1.0,0.8017241379310345,0.8899521531100478
10,Decision Tree,2,0.7229178891084783,0.877473286817002,1.0,1.0,1.0,1.0,0.9223300970873787,0.7956989247311828,0.8505747126436781,0.8222222222222222
11,Random Forest,2,0.9836227121013612,0.9950449994943877,0.9903147699757869,0.9786096256684492,0.9786096256684492,0.9786096256684492,0.9635922330097088,0.9139784946236559,0.9239130434782609,0.918918918918919
