,,,,sim to bat,sim to MM bat,diff
PCoV_GX_P2V,QIQ54048,Anteater,Pangolin_coronavirus,0.938192158,0.837444147,-0.100748011
Hu/Taif/KSA_7032/2014/S530del,AMQ49004,Human,Middle_East_respiratory_syndrome_coronavirus,-0.218266979,0.297183099,0.515450078
LLJ_2004,AAT52330,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.794663048,0.82316692,0.028503871
SARS/VeroE6_lab/USA/ExoN1_c5.7P20/2010,AGT21078,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.792817263,0.822535966,0.029718704
Tor2/FP1_10851,AFR58728,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.793420854,0.822446609,0.029025755
229E/human/USA/933_40/1993,AGT21367,Human,Human_coronavirus_229E,0.103629496,0.432820886,0.32919139
Tor2/FP1_10912,AFR58714,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.793233651,0.822351363,0.029117713
ExoN1_mutant,AFM43867,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.792006033,0.822047525,0.030041492
229E/human/USA/933_50/1993,AGT21345,Human,Human_coronavirus_229E,0.103612479,0.432781517,0.329169038
229E/human/USA/932_72/1993,AGT21360,Human,Human_coronavirus_229E,0.103793726,0.432911853,0.329118127
HKU3_13,ADE34823,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.787109675,0.810290546,0.023180871
HKU3_3,AAZ41340,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.787846154,0.81027348,0.022427326
HKU3_7,ADE34755,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.78758472,0.809956788,0.022372068
HKU3_10,ADE34790,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.787263498,0.809930737,0.022667239
HKU3_2,AAZ41329,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.787142418,0.809857888,0.02271547
HKU3_12,ADE34812,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.78796738,0.809806568,0.021839188
HKU3_8,ADE34766,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.788695518,0.809703844,0.021008325
YNLF_34C,AKZ19087,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.760708783,0.794779478,0.034070695
YNLF_31C,AKZ19076,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.760708783,0.794779478,0.034070695
BtKY72,APO40579,Bat,Severe_acute_respiratory_syndrome_related_coronavirus,0.737381347,0.778432949,0.041051602
BtCoV/BM48_31/BGR/2008,ADK66841,Bat,Bat_coronavirus_BM48_31/BGR/2008,0.726672667,0.766452648,0.039779981
16BO133,ASO66810,Bat,Bat_coronavirus,0.727034928,0.757518628,0.0304837
JTMC15,ANA96027,Bat,Bat_coronavirus,0.728672621,0.757230106,0.028557485
229E,AAG48592,Human,Human_coronavirus_229E,0.102304298,0.429207156,0.326902858
MY_U002/12,AQN78656,Human,Betacoronavirus_1,0.087818307,0.408426031,0.320607724
MY_U1024/12,AQN78744,Human,Betacoronavirus_1,0.087733773,0.408231173,0.3204974
camel/Taif/T193/2015,ALA50256,Camel,Human_coronavirus_229E,0.105886222,0.43166515,0.325778928
camel/Riyadh/Ry141/2015,ALA50193,Camel,Human_coronavirus_229E,0.105886222,0.431574158,0.325687937
camel/Jeddah/N60/2014,ALA50137,Camel,Human_coronavirus_229E,0.105886222,0.431574158,0.325687937
camel/Jeddah/N68_a_/2014,ALA50151,Camel,Human_coronavirus_229E,0.105072464,0.431420765,0.326348301
camel/Jeddah/N38/2014,ALA50130,Camel,Human_coronavirus_229E,0.105193951,0.431131732,0.325937781
camel/Jeddah/D33_a_/2014,ALA50158,Camel,Human_coronavirus_229E,0.10566968,0.431092513,0.325422834
